State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Assam,MORIGAON,Jagiroad Dry Fish Market,Cabbage,Cabbage,Local,2024-09-30,1700.0,2000.0,1800.0
Assam,Nagaon,Haibargaon,Capsicum,Capsicum,Local,2024-09-30,2500.0,2600.0,2500.0
Assam,Sibsagar,Sibsagar,Capsicum,Capsicum,Local,2024-09-30,3200.0,3500.0,3300.0
Assam,Sonitpur,Dhekiajuli,French Beans (Frasbean),French Beans (Frasbean),Local,2024-09-30,6000.0,6500.0,6500.0
Bihar,Bhojpur,Piro,Onion,Medium,FAQ,2024-09-30,4500.0,4600.0,4550.0
Bihar,Kishanganj,Bahadurganj,Red Gram,AL-15,FAQ,2024-09-30,7400.0,7800.0,7600.0
Bihar,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2024-09-30,2600.0,2800.0,2700.0
Chattisgarh,Bijapur,Bhopalpattnam,Mahua Seed(Hippe seed),Other,FAQ,2024-09-30,2000.0,2500.0,2200.0
Chattisgarh,Bilaspur,Tiphra,Bitter gourd,Bitter Gourd,FAQ,2024-09-30,3000.0,3200.0,3100.0
Chattisgarh,Bilaspur,Tiphra,Onion,Other,FAQ,2024-09-30,4000.0,4200.0,4100.0
Chattisgarh,Bilaspur,Tiphra,Pomegranate,Other,Large,2024-09-30,14000.0,14500.0,14300.0
Chattisgarh,Bilaspur,Tiphra,Pumpkin,Other,FAQ,2024-09-30,3200.0,3400.0,3300.0
Chattisgarh,Janjgir,Champa,Paddy(Dhan)(Common),Paddy,FAQ,2024-09-30,1950.0,1950.0,1950.0
Chattisgarh,Jashpur,Jaspur,Garlic,Desi,FAQ,2024-09-30,4000.0,4000.0,4000.0
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,FAQ,2024-09-30,2200.0,2200.0,2200.0
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,FAQ,2024-09-30,2200.0,2200.0,2200.0
Chattisgarh,Kanker,Pakhanjur,Paddy(Dhan)(Common),Paddy fine,FAQ,2024-09-30,2000.0,2000.0,2000.0
Chattisgarh,Korba,Katghora,Kodo Millet(Varagu),Other,FAQ,2024-09-30,2600.0,2600.0,2600.0
Chattisgarh,Raigarh,Baramkela,Paddy(Dhan)(Common),Paddy Coarse,FAQ,2024-09-30,2050.0,2060.0,2050.0
Goa,South Goa,Curchorem,Coconut,Medium,FAQ,2024-09-30,770.0,1100.0,935.0
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,2024-09-30,5425.0,6425.0,6300.0
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,2024-09-30,4000.0,6175.0,6100.0
Gujarat,Amreli,Babra,Castor Seed,Other,FAQ,2024-09-30,5000.0,7625.0,6310.0
Gujarat,Amreli,Bagasara,Soyabean,Yellow,FAQ,2024-09-30,2800.0,4350.0,3575.0
Gujarat,Amreli,Bagasara,Wheat,Lokwan Gujrat,FAQ,2024-09-30,2575.0,2855.0,2715.0
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,850.0,1250.0,1000.0
Gujarat,Amreli,Dhari,Cotton,Local,FAQ,2024-09-30,5100.0,7260.0,6530.0
Gujarat,Amreli,Dhari,Wheat,Lokwan Gujrat,FAQ,2024-09-30,2555.0,2575.0,2575.0
Gujarat,Amreli,Rajula,Jowar(Sorghum),Local,FAQ,2024-09-30,2000.0,4105.0,3053.0
Gujarat,Amreli,Rajula,Soyabean,Soyabeen,FAQ,2024-09-30,4125.0,4125.0,4125.0
Gujarat,Amreli,Savarkundla,Green Gram (Moong)(Whole),Green (Whole),FAQ,2024-09-30,6255.0,7610.0,6933.0
Gujarat,Amreli,Savarkundla,Wheat,Bansi,FAQ,2024-09-30,2900.0,3125.0,3013.0
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,2024-09-30,2760.0,2990.0,2875.0
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bottle gourd,Bottle Gourd,FAQ,2024-09-30,500.0,1000.0,900.0
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cauliflower,Cauliflower,FAQ,2024-09-30,1250.0,2000.0,1800.0
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Spinach,Spinach,FAQ,2024-09-30,3500.0,4000.0,3800.0
Gujarat,Anand,Borsad,Wheat,Other,FAQ,2024-09-30,2400.0,2450.0,2425.0
Gujarat,Anand,Umreth,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2024-09-30,2300.0,2350.0,2340.0
Gujarat,Banaskanth,Deesa,Wheat,Other,FAQ,2024-09-30,2640.0,3207.5,2750.0
Gujarat,Banaskanth,Deesa(Bhildi),Bajra(Pearl Millet/Cumbu),Other,FAQ,2024-09-30,2280.0,2545.0,2425.0
Gujarat,Banaskanth,Deesa(Bhildi),Mustard,Other,FAQ,2024-09-30,6000.0,6000.0,6000.0
Gujarat,Banaskanth,Dhanera,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2024-09-30,2320.0,2445.0,2390.0
Gujarat,Banaskanth,Palanpur,Castor Seed,Castor seed,FAQ,2024-09-30,6550.0,6635.0,6592.0
Gujarat,Banaskanth,Palanpur,Wheat,Other,FAQ,2024-09-30,2625.0,2830.0,2727.0
Gujarat,Banaskanth,Thara,Wheat,Other,FAQ,2024-09-30,2625.0,3040.0,2832.5
Gujarat,Banaskanth,Thara(Shihori),Castor Seed,Caster,FAQ,2024-09-30,6600.0,6640.0,6620.0
Gujarat,Banaskanth,Vav,Cummin Seed(Jeera),Other,FAQ,2024-09-30,21000.0,25125.0,23500.0
Gujarat,Bharuch,Ankleshwar,Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,1000.0,1500.0,1200.0
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,2024-09-30,2000.0,4500.0,3000.0
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,FAQ,2024-09-30,2000.0,3000.0,2500.0
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,FAQ,2024-09-30,1200.0,3000.0,1500.0
Gujarat,Bharuch,Ankleshwar,Ginger(Green),Green Ginger,FAQ,2024-09-30,3500.0,8500.0,5000.0
Gujarat,Bharuch,Ankleshwar,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2024-09-30,2000.0,4000.0,3000.0
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,2024-09-30,5800.0,6200.0,6000.0
Gujarat,Bharuch,Jambusar,Rice,Other,FAQ,2024-09-30,3000.0,3600.0,3300.0
Gujarat,Bharuch,Jambusar,Wheat,Other,FAQ,2024-09-30,2800.0,3200.0,3000.0
Gujarat,Bharuch,Jambusar(Kaavi),Cotton,Other,FAQ,2024-09-30,5600.0,6000.0,5800.0
Gujarat,Bhavnagar,Mahuva(Station Road),Cotton,Shanker 6 (B) 30mm FIne,FAQ,2024-09-30,4250.0,7070.0,5660.0
Gujarat,Bhavnagar,Mahuva(Station Road),Green Gram (Moong)(Whole),Hybrid,FAQ,2024-09-30,7000.0,8250.0,7625.0
Gujarat,Botad,Botad,Bajra(Pearl Millet/Cumbu),Other,FAQ,2024-09-30,1900.0,2350.0,2150.0
Gujarat,Botad,Botad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,2024-09-30,10950.0,12400.0,11700.0
Gujarat,Dahod,Dahod,Arhar (Tur/Red Gram)(Whole),Other,FAQ,2024-09-30,7800.0,8300.0,8100.0
Gujarat,Dahod,Dahod,Castor Seed,Castor seed,FAQ,2024-09-30,5900.0,6000.0,5950.0
Gujarat,Dahod,Dahod,Paddy(Dhan)(Common),Paddy Coarse,FAQ,2024-09-30,1775.0,1775.0,1775.0
Gujarat,Dahod,Dahod,Paddy(Dhan)(Common),Paddy fine,FAQ,2024-09-30,2400.0,2450.0,2425.0
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,Brinjal,FAQ,2024-09-30,600.0,2500.0,1500.0
Gujarat,Dahod,Dahod(Veg. Market),Coriander(Leaves),Coriander,FAQ,2024-09-30,5000.0,8000.0,7000.0
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,2024-09-30,1500.0,3000.0,2500.0
Gujarat,Dahod,Dahod(Veg. Market),Tomato,Tomato,FAQ,2024-09-30,1500.0,4500.0,3500.0
Gujarat,Dahod,Devgadhbaria,Paddy(Dhan)(Common),Common,FAQ,2024-09-30,1550.0,1575.0,1560.0
Gujarat,Dahod,Zalod(Zalod),Bengal Gram(Gram)(Whole),Other,FAQ,2024-09-30,5000.0,6000.0,5500.0
Gujarat,Devbhumi Dwarka,Jam Khambalia,Cummin Seed(Jeera),Other,FAQ,2024-09-30,22750.0,25375.0,23875.0
Gujarat,Gandhinagar,Dehgam,Guar,Other,FAQ,2024-09-30,4900.0,5250.0,5075.0
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,2024-09-30,2600.0,2680.0,2640.0
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Castor Seed,Other,FAQ,2024-09-30,6150.0,6200.0,6175.0
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,2024-09-30,4850.0,5050.0,4950.0
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Wheat,Other,FAQ,2024-09-30,2500.0,2550.0,2525.0
Gujarat,Gandhinagar,Kalol,Castor Seed,Other,FAQ,2024-09-30,6630.0,6670.0,6650.0
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Cauliflower,Cauliflower,FAQ,2024-09-30,1600.0,3000.0,2500.0
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bhindi(Ladies Finger),Other,FAQ,2024-09-30,1000.0,1500.0,1000.0
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Lemon,Other,FAQ,2024-09-30,9000.0,9000.0,9000.0
Gujarat,Gir Somnath,Talalagir,Sponge gourd,Other,FAQ,2024-09-30,3000.0,5000.0,4000.0
Gujarat,Jamnagar,Dhrol,Bengal Gram(Gram)(Whole),Other,FAQ,2024-09-30,5250.0,6400.0,5825.0
Gujarat,Jamnagar,Dhrol,Cotton,Other,FAQ,2024-09-30,5575.0,7200.0,6390.0
Gujarat,Jamnagar,Dhrol,Mustard,Other,FAQ,2024-09-30,4500.0,5345.0,4925.0
Gujarat,Jamnagar,Dhrol,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,2024-09-30,10000.0,12000.0,11000.0
Gujarat,Jamnagar,Dhrol,Wheat,Other,FAQ,2024-09-30,2450.0,2820.0,2635.0
Gujarat,Jamnagar,Jamnagar,Bengal Gram(Gram)(Whole),Other,FAQ,2024-09-30,5500.0,7250.0,6350.0
Gujarat,Jamnagar,Jamnagar,Corriander seed,Other,FAQ,2024-09-30,3500.0,6955.0,5325.0
Gujarat,Jamnagar,Jamnagar,Groundnut,Other,FAQ,2024-09-30,6300.0,6475.0,6425.0
Gujarat,Jamnagar,Jamnagar,Mustard,Other,FAQ,2024-09-30,5250.0,6575.0,6050.0
Gujarat,Jamnagar,Jamnagar,Onion,Other,FAQ,2024-09-30,1575.0,4075.0,2925.0
Gujarat,Jamnagar,Jamnagar,Soyabean,Local,FAQ,2024-09-30,4500.0,4640.0,4625.0
Gujarat,Junagarh,Bhesan,Coriander(Leaves),Other,FAQ,2024-09-30,5000.0,6800.0,6500.0
Gujarat,Junagarh,Bhesan,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,2024-09-30,7500.0,12680.0,12000.0
Gujarat,Junagarh,Bhesan,Wheat,Other,FAQ,2024-09-30,2000.0,2970.0,2680.0
Gujarat,Junagarh,Junagadh,Corriander seed,Coriander Seed,FAQ,2024-09-30,6250.0,7450.0,6600.0
Gujarat,Junagarh,Junagadh,Ground Nut Seed,Ground Nut Seed,FAQ,2024-09-30,5500.0,6000.0,5750.0
Gujarat,Junagarh,Visavadar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,2024-09-30,8750.0,10000.0,9375.0
Gujarat,Junagarh,Visavadar,Corriander seed,Other,FAQ,2024-09-30,5250.0,6630.0,5815.0
Gujarat,Kachchh,Anjar,Guar Seed(Cluster Beans Seed),Other,FAQ,2024-09-30,4900.0,4900.0,4900.0
Gujarat,Kachchh,Rapar,Green Gram (Moong)(Whole),Hybrid,FAQ,2024-09-30,3755.0,8200.0,5975.0
Gujarat,Kachchh,Rapar,"Sesamum(Sesame,Gingelly,Til)",Sesame,FAQ,2024-09-30,8555.0,10860.0,9705.0
Gujarat,Kachchh,Rapar,Soanf,Soanf,FAQ,2024-09-30,5500.0,0.0,5500.0
Gujarat,Kheda,Kapadvanj,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2024-09-30,2500.0,3000.0,2750.0
Gujarat,Kheda,Kapadvanj,Bhindi(Ladies Finger),Other,FAQ,2024-09-30,1000.0,1200.0,1050.0
Gujarat,Kheda,Kapadvanj,Bottle gourd,Other,FAQ,2024-09-30,1500.0,2000.0,1600.0
Gujarat,Kheda,Kapadvanj,Brinjal,Other,FAQ,2024-09-30,1000.0,1500.0,1100.0
Gujarat,Kheda,Kapadvanj,Tomato,Other,FAQ,2024-09-30,3500.0,4000.0,3700.0
Gujarat,Kheda,Nadiyad(Chaklasi),Brinjal,Brinjal,FAQ,2024-09-30,2100.0,2200.0,2150.0
Gujarat,Kheda,Nadiyad(Piplag),Bitter gourd,Bitter Gourd,FAQ,2024-09-30,1500.0,1700.0,1600.0
Gujarat,Kheda,Nadiyad(Piplag),Cauliflower,Cauliflower,FAQ,2024-09-30,2100.0,2300.0,2200.0
Gujarat,Mehsana,Kadi,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2024-09-30,2300.0,2350.0,2325.0
Gujarat,Mehsana,Kadi,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2024-09-30,6550.0,6650.0,6600.0
Gujarat,Mehsana,Kadi,Wheat,Deshi,FAQ,2024-09-30,2500.0,3000.0,2800.0
Gujarat,Mehsana,Mehsana(Jornang),Wheat,Other,FAQ,2024-09-30,2825.0,3005.0,2900.0
Gujarat,Mehsana,Vijapur(Gojjariya),Castor Seed,Other,FAQ,2024-09-30,6645.0,6645.0,6645.0
Gujarat,Mehsana,Vijapur(veg),Bitter gourd,Other,FAQ,2024-09-30,1300.0,1500.0,1400.0
Gujarat,Mehsana,Vijapur(veg),Bottle gourd,Other,FAQ,2024-09-30,350.0,1900.0,1100.0
Gujarat,Mehsana,Vijapur(veg),Green Chilli,Other,FAQ,2024-09-30,500.0,3000.0,1750.0
Gujarat,Mehsana,Visnagar,Castor Seed,Other,FAQ,2024-09-30,6400.0,6640.0,6520.0
Gujarat,Mehsana,Visnagar,Cotton,Other,FAQ,2024-09-30,4000.0,7635.0,5817.0
Gujarat,Mehsana,Visnagar,Wheat,Other,FAQ,2024-09-30,2605.0,3000.0,2802.0
Gujarat,Morbi,Halvad,Corriander seed,Other,FAQ,2024-09-30,5250.0,7000.0,6550.0
Gujarat,Morbi,Halvad,Soanf,Other,FAQ,2024-09-30,4750.0,6455.0,5800.0
Gujarat,Morbi,Morbi,Green Chilli,Green Chilly,FAQ,2024-09-30,3000.0,6000.0,4500.0
Gujarat,Morbi,Morbi,Lemon,Lemon,FAQ,2024-09-30,5000.0,6000.0,5500.0
Gujarat,Morbi,Vankaner,Wheat,Other,FAQ,2024-09-30,2250.0,3035.0,2700.0
Gujarat,Navsari,Bilimora,Cabbage,Other,FAQ,2024-09-30,1500.0,2000.0,1800.0
Gujarat,Navsari,Bilimora,Onion,Nasik,FAQ,2024-09-30,3000.0,5000.0,4000.0
Gujarat,Navsari,Navsari,Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,1500.0,2500.0,2000.0
Gujarat,Navsari,Navsari,Bottle gourd,Bottle Gourd,FAQ,2024-09-30,2500.0,3500.0,3000.0
Gujarat,Navsari,Navsari,Capsicum,Capsicum,FAQ,2024-09-30,5000.0,6000.0,5500.0
Gujarat,Navsari,Navsari,Methi(Leaves),Methi,FAQ,2024-09-30,3500.0,4000.0,3750.0
Gujarat,Panchmahals,Morva Hafad,Wheat,Deshi,FAQ,2024-09-30,2300.0,2500.0,2400.0
Gujarat,Patan,Patan,Ajwan,Other,FAQ,2024-09-30,6500.0,11250.0,8900.0
Gujarat,Patan,Siddhpur,Castor Seed,Castor seed,FAQ,2024-09-30,6470.0,6645.0,6557.0
Gujarat,Porbandar,Porbandar,Banana,Amruthapani,Large,2024-09-30,1250.0,1750.0,1500.0
Gujarat,Porbandar,Porbandar,Brinjal,Arkasheela Mattigulla,FAQ,2024-09-30,1000.0,2000.0,1500.0
Gujarat,Porbandar,Porbandar,Chikoos(Sapota),Other,Large,2024-09-30,3000.0,4000.0,3500.0
Gujarat,Porbandar,Porbandar,Ginger(Green),Green Ginger,FAQ,2024-09-30,6000.0,8000.0,7000.0
Gujarat,Porbandar,Porbandar,Guar,Gwar,FAQ,2024-09-30,3000.0,5000.0,4000.0
Gujarat,Porbandar,Porbandar,Orange,Darjeeling,Large,2024-09-30,3000.0,9000.0,6000.0
Gujarat,Rajkot,Dhoraji,Groundnut,Local,FAQ,2024-09-30,4380.0,5130.0,4680.0
Gujarat,Rajkot,Gondal,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2024-09-30,8555.0,10505.0,9505.0
Gujarat,Rajkot,Gondal,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,2024-09-30,6505.0,7355.0,7205.0
Gujarat,Rajkot,Gondal,Corriander seed,Coriander Seed,FAQ,2024-09-30,4500.0,7505.0,6955.0
Gujarat,Rajkot,Gondal,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,2024-09-30,18255.0,25355.0,24255.0
Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,Apple,Medium,2024-09-30,4000.0,8000.0,6000.0
Gujarat,Rajkot,Gondal(Veg.market Gondal),Brinjal,Brinjal,FAQ,2024-09-30,2000.0,4000.0,3000.0
Gujarat,Rajkot,Jasdan,Groundnut,G20,FAQ,2024-09-30,3000.0,5750.0,4750.0
Gujarat,Rajkot,Jasdan,Maize,Hybrid/Local,FAQ,2024-09-30,2000.0,2605.0,2250.0
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Cotton,Cotton (Unginned),FAQ,2024-09-30,3030.0,8155.0,8000.0
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Soyabean,Soyabeen,FAQ,2024-09-30,3755.0,4455.0,4375.0
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Wheat,Lokwan,FAQ,2024-09-30,2655.0,3040.0,2850.0
Gujarat,Rajkot,Rajkot,Corriander seed,Coriander Seed,FAQ,2024-09-30,5900.0,7200.0,6700.0
Gujarat,Rajkot,Rajkot,Garlic,Garlic,FAQ,2024-09-30,16055.0,27400.0,20750.0
Gujarat,Rajkot,Rajkot,Mustard,Mustard,FAQ,2024-09-30,5050.0,5775.0,5650.0
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,500.0,1000.0,750.0
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Brinjal,Brinjal,FAQ,2024-09-30,1500.0,2500.0,2000.0
Gujarat,Sabarkantha,Khedbrahma,Wheat,Other,FAQ,2024-09-30,2750.0,2950.0,2850.0
Gujarat,Surat,Surat,Cabbage,Other,FAQ,2024-09-30,800.0,2000.0,1400.0
Gujarat,Surat,Surat,Capsicum,Other,FAQ,2024-09-30,3000.0,5000.0,4000.0
Gujarat,Surat,Surat,Carrot,Other,FAQ,2024-09-30,1900.0,2800.0,2350.0
Gujarat,Surat,Surat,Cowpea(Veg),Other,FAQ,2024-09-30,4000.0,7500.0,5750.0
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,2024-09-30,1000.0,2300.0,1650.0
Gujarat,Surat,Surat,French Beans (Frasbean),Other,FAQ,2024-09-30,1500.0,3500.0,2500.0
Gujarat,Surat,Surat,Green Chilli,Other,FAQ,2024-09-30,2500.0,5000.0,3750.0
Gujarat,Surat,Surat,Indian Beans (Seam),Other,FAQ,2024-09-30,3000.0,5000.0,4000.0
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2024-09-30,7000.0,10000.0,8500.0
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,2024-09-30,800.0,1600.0,1200.0
Gujarat,Surat,Surat,Ridgeguard(Tori),Other,FAQ,2024-09-30,1000.0,2700.0,1850.0
Gujarat,Surat,Surat,Turmeric (raw),Other,FAQ,2024-09-30,5000.0,11500.0,8250.0
Gujarat,Surat,Vyra,Paddy(Dhan)(Common),Common,FAQ,2024-09-30,2000.0,2100.0,2050.0
Gujarat,Surendranagar,Dasada Patadi,Cotton,Shanker 4 31mm FIne,FAQ,2024-09-30,6000.0,7255.0,6750.0
Gujarat,Surendranagar,Dasada Patadi,Suva (Dill Seed),Suva (Dill Seed),FAQ,2024-09-30,6500.0,7755.0,7500.0
Gujarat,Surendranagar,Dhragradhra,Mustard,Mustard,FAQ,2024-09-30,5010.0,5010.0,5010.0
Gujarat,Surendranagar,Vadhvan,Cabbage,Cabbage,FAQ,2024-09-30,2500.0,3000.0,2750.0
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,2024-09-30,2500.0,3000.0,2750.0
Gujarat,Surendranagar,Vadhvan,Garlic,Garlic,FAQ,2024-09-30,20000.0,25000.0,22500.0
Gujarat,Surendranagar,Vadhvan,Green Chilli,Green Chilly,FAQ,2024-09-30,5500.0,6000.0,5750.0
Gujarat,Surendranagar,Vadhvan,Guar,Gwar,FAQ,2024-09-30,5500.0,6000.0,5750.0
Gujarat,Surendranagar,Vadhvan,Onion Green,Onion Green,FAQ,2024-09-30,2000.0,2500.0,2250.0
Gujarat,Vadodara(Baroda),Padra,Bottle gourd,Other,FAQ,2024-09-30,2500.0,2750.0,2625.0
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,2024-09-30,2000.0,2250.0,2125.0
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,FAQ,2024-09-30,4000.0,5000.0,4500.0
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,2024-09-30,5000.0,6000.0,5500.0
Gujarat,Vadodara(Baroda),Padra,Pointed gourd (Parval),Other,FAQ,2024-09-30,3000.0,3500.0,3250.0
Gujarat,Valsad,Chikli(Khorgam),Bitter gourd,Other,FAQ,2024-09-30,1250.0,2000.0,1625.0
Gujarat,Valsad,Chikli(Khorgam),Pointed gourd (Parval),Other,FAQ,2024-09-30,2500.0,4250.0,3375.0
Haryana,Ambala,Ambala City(Subji Mandi),Apple,Other,Medium,2024-09-30,7500.0,17000.0,12000.0
Haryana,Ambala,Naraingarh,Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,1000.0,2500.0,2000.0
Haryana,Ambala,Naraingarh,Ginger(Dry),Other,FAQ,2024-09-30,3000.0,4500.0,3500.0
Haryana,Ambala,Naraingarh,Guava,Guava,Medium,2024-09-30,3000.0,6000.0,4500.0
Haryana,Ambala,Naraingarh,Potato,Potato,FAQ,2024-09-30,800.0,1700.0,1400.0
Haryana,Ambala,Naraingarh,Raddish,Raddish,FAQ,2024-09-30,600.0,1000.0,800.0
Haryana,Ambala,Naraingarh,Tomato,Tomato,FAQ,2024-09-30,1500.0,4000.0,3000.0
Haryana,Fatehabad,Jakhal,Potato,Other,FAQ,2024-09-30,1800.0,1800.0,1800.0
Haryana,Fatehabad,Ratia,Onion,Other,FAQ,2024-09-30,2500.0,4200.0,3500.0
Haryana,Fatehabad,Ratia,Potato,Other,FAQ,2024-09-30,1100.0,2900.0,2000.0
Haryana,Fatehabad,Ratia,Tomato,Other,FAQ,2024-09-30,3000.0,4500.0,3800.0
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,2024-09-30,2000.0,3000.0,2500.0
Haryana,Gurgaon,Gurgaon,Cabbage,Other,FAQ,2024-09-30,1000.0,2000.0,1500.0
Haryana,Gurgaon,Gurgaon,Cauliflower,Other,FAQ,2024-09-30,3000.0,5000.0,4000.0
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,2024-09-30,5000.0,10000.0,7500.0
Haryana,Gurgaon,Pataudi,Potato,Other,FAQ,2024-09-30,1800.0,2200.0,2000.0
Haryana,Gurgaon,Sohna,Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,2000.0,3000.0,2500.0
Haryana,Gurgaon,Sohna,Onion,Onion,FAQ,2024-09-30,3600.0,4800.0,4500.0
Haryana,Gurgaon,Sohna,Tomato,Tomato,FAQ,2024-09-30,3600.0,5000.0,4000.0
